"","Gene.Sym","Parameter","Gene.ID"
"Gene1","Gene1","RNA.Abundance",1921
"Gene2","Gene2","RNA.Abundance",1125
"Gene3","Gene3","RNA.Abundance",1311
"Gene4","Gene4","RNA.Abundance",1564
"Gene5","Gene5","RNA.Abundance",1876
"Gene6","Gene6","Pixel.Intensity",1941
"Gene7","Gene7","Pixel.Intensity",1750
"Gene8","Gene8","Pixel.Intensity",1006
"Gene9","Gene9","Pixel.Intensity",1652
"Gene10","Gene10","RNA.Abundance",1915
"Gene11","Gene11","RNA.Abundance",1775
"Gene12","Gene12","RNA.Abundance",1534
"Gene13","Gene13","RNA.Abundance",1188
"Gene14","Gene14","Pixel.Intensity",1019
"Gene15","Gene15","Pixel.Intensity",1009
"Gene16","Gene16","Pixel.Intensity",1748
"Gene17","Gene17","Pixel.Intensity",1376
"Gene18","Gene18","RNA.Abundance",1850
"Gene19","Gene19","RNA.Abundance",1360
"Gene20","Gene20","Pixel.Intensity",1923
"Gene21","Gene21","RNA.Abundance",1783
"Gene22","Gene22","Pixel.Intensity",1136
"Gene23","Gene23","Pixel.Intensity",1178
"Gene24","Gene24","Pixel.Intensity",1797
"Gene25","Gene25","Pixel.Intensity",1325
"Gene26","Gene26","Pixel.Intensity",1443
"Gene27","Gene27","RNA.Abundance",1051
"Gene28","Gene28","Pixel.Intensity",1849
"Gene29","Gene29","RNA.Abundance",1890
"Gene30","Gene30","Pixel.Intensity",1711
"Gene31","Gene31","RNA.Abundance",1422
"Gene32","Gene32","RNA.Abundance",1086
"Gene33","Gene33","RNA.Abundance",1207
"Gene34","Gene34","Pixel.Intensity",1331
"Gene35","Gene35","RNA.Abundance",1729
"Gene36","Gene36","Pixel.Intensity",1350
"Gene37","Gene37","Pixel.Intensity",1722
"Gene38","Gene38","RNA.Abundance",1417
"Gene39","Gene39","RNA.Abundance",1769
"Gene40","Gene40","Pixel.Intensity",1686
